rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content
m/delta_road,Anna Kowal,True,Northside Review,Rotten,3/10,2022-08-12,"A disappointing misfire that never finds its footing, and the third act abandons its own rules. (Review 1)"
m/epsilon_anthem,Anna Kowal,True,Northside Review,Fresh,9,2020-08-02,"A gorgeous, patient picture with a startling final act, and the script respects its own premise. (Review 2) Verdict: 9."
m/hollow_harvest,Anna Kowal,True,Northside Review,Fresh,85%,2023-03-10,"A sharp, moving film with terrific performances and real momentum, and it finds humour without undercutting the drama. (Review 3)"
m/gamma_orbit,Anna Kowal,True,Northside Review,Rotten,1/4,2022-10-07,"Handsomely mounted and entirely inert, and every twist arrives twenty minutes after you saw it coming; the humour is broad and joyless. (Review 4)"
m/delta_road,Anna Kowal,True,Northside Review,Fresh,B,2021-09-05,"An absolute delight from the first frame to the last, and the score is used sparingly and lands hard; the score is used sparingly and lands hard. (Review 5)"
m/epsilon_road,Anna Kowal,True,Northside Review,Rotten,D,2022-10-01,"Predictable and lifeless, with dialogue that lands with a thud, and the humour is broad and joyless. (Review 6) Verdict: D."
m/crimson_night,Anna Kowal,True,Northside Review,Fresh,2.5/4,2022-02-15,"A sharp, moving film with terrific performances and real momentum, and it works better as a mood piece than as a story; the editing is actively confusing. (Review 7) Verdict: 2.5/4."
m/last_sky,Anna Kowal,True,Northside Review,Fresh,3/5,2021-05-14,"An absolute delight from the first frame to the last, and it works better as a mood piece than as a story. (Review 8)"
m/silent_city,Anna Kowal,True,Northside Review,Fresh,60%,2021-08-03,"A gorgeous, patient picture with a startling final act, and there is a leaner, stranger film buried in here; the editing is actively confusing. (Review 9)"
m/golden_road,Anna Kowal,True,Northside Review,Fresh,8/10,2022-06-25,"Beautifully shot and confidently directed, it earns every beat, and the ensemble is uniformly excellent; the script respects its own premise. (Review 10)"
m/beta_orbit,Anna Kowal,True,Northside Review,Fresh,A-,2020-08-23,"A gorgeous, patient picture with a startling final act, and the score is used sparingly and lands hard. (Review 11)"
m/hollow_sea,Anna Kowal,True,Northside Review,Fresh,3/5,2023-03-21,"Smart writing and a superb lead turn make this an easy recommendation, and the ambition is admirable even when the execution wobbles. (Review 12)"
m/alpha_signal,Anna Kowal,True,Northside Review,Fresh,8/10,2019-06-15,"Beautifully shot and confidently directed, it earns every beat, and the cinematography does real narrative work. (Review 13)"
m/gamma_city,Anna Kowal,True,Northside Review,Fresh,A-,2021-04-27,"An absolute delight from the first frame to the last, and the pacing never slackens. (Review 14) Verdict: A-."
m/silent_winter,Anna Kowal,True,Northside Review,Fresh,60%,2022-11-29,"A sharp, moving film with terrific performances and real momentum, and there is a leaner, stranger film buried in here. (Review 15)"
m/beta_sea,Anna Kowal,True,Northside Review,Fresh,A-,2022-01-28,"A sharp, moving film with terrific performances and real momentum, and the ensemble is uniformly excellent; it finds humour without undercutting the drama. (Review 16)"
m/broken_orbit,Anna Kowal,True,Northside Review,Fresh,4/5,2021-10-18,"Assured, generous filmmaking that trusts its audience, and the script respects its own premise; the cinematography does real narrative work. (Review 17)"
m/beta_road,Anna Kowal,True,Northside Review,Fresh,4/5,2023-09-26,"An absolute delight from the first frame to the last, and the script respects its own premise; the pacing never slackens. (Review 18) Verdict: 4/5."
m/last_city,Anna Kowal,True,Northside Review,Fresh,C+,2023-03-17,"A sharp, moving film with terrific performances and real momentum, and it works better as a mood piece than as a story. (Review 19)"
m/beta_city,Anna Kowal,True,Northside Review,Fresh,4/5,2022-01-19,"Smart writing and a superb lead turn make this an easy recommendation, and the cinematography does real narrative work. (Review 20)"
m/gamma_city,Anna Kowal,True,Northside Review,Fresh,8/10,2021-09-04,"A gorgeous, patient picture with a startling final act, and the score is used sparingly and lands hard; the ensemble is uniformly excellent. (Review 21)"
m/hollow_road,Anna Kowal,True,Northside Review,Rotten,1/4,2024-01-17,"Flat characters and clumsy pacing sink whatever goodwill it builds, and the leads have no chemistry to speak of; every twist arrives twenty minutes after you saw it coming. (Review 22)"
m/gamma_road,Anna Kowal,True,Northside Review,Rotten,2,2020-09-04,"Predictable and lifeless, with dialogue that lands with a thud, and the editing is actively confusing. (Review 23)"
m/alpha_sky,Anna Kowal,True,Northside Review,Fresh,4/5,2022-12-17,"A gorgeous, patient picture with a startling final act, and the cinematography does real narrative work. (Review 24)"
m/beta_machine,Anna Kowal,True,Northside Review,Rotten,C-,2021-03-06,"Weightless spectacle in search of a reason to exist, and it mistakes volume for tension. (Review 25) Verdict: C-."
m/hollow_harvest,Anna Kowal,True,Northside Review,Fresh,B,2023-04-06,"Smart writing and a superb lead turn make this an easy recommendation, and the score is used sparingly and lands hard. (Review 26)"
m/alpha_sky,Anna Kowal,True,Northside Review,Fresh,6/10,2023-03-10,"Beautifully shot and confidently directed, it earns every beat, and it works better as a mood piece than as a story. (Review 27) Verdict: 6/10."
m/broken_sea,Anna Kowal,True,Northside Review,Fresh,8/10,2022-09-05,"Assured, generous filmmaking that trusts its audience, and the ensemble is uniformly excellent. (Review 28) Verdict: 8/10."
m/epsilon_anthem,Anna Kowal,True,Northside Review,Fresh,B,2020-06-11,"An absolute delight from the first frame to the last, and the ensemble is uniformly excellent; the score is used sparingly and lands hard. (Review 29) Verdict: B."
m/gamma_orbit,Anna Kowal,True,Northside Review,Fresh,8/10,2023-01-30,"A sharp, moving film with terrific performances and real momentum, and the ensemble is uniformly excellent. (Review 30) Verdict: 8/10."
m/northern_city,Anna Kowal,True,Northside Review,Fresh,3.5/4,2022-04-09,"An absolute delight from the first frame to the last, and the cinematography does real narrative work. (Review 31)"
m/alpha_signal,Anna Kowal,True,Northside Review,Rotten,1/4,2019-09-30,"A tedious, overlong mess that squanders a promising premise, and every twist arrives twenty minutes after you saw it coming. (Review 32)"
m/gamma_road,Marco Reyes,True,Screen Ledger,Fresh,9,2020-10-19,"An absolute delight from the first frame to the last, and it finds humour without undercutting the drama; the ensemble is uniformly excellent. (Review 33)"
m/crimson_night,Marco Reyes,True,Screen Ledger,Rotten,1.5/5,2022-06-18,"Predictable and lifeless, with dialogue that lands with a thud, and the leads have no chemistry to speak of; the humour is broad and joyless. (Review 34)"
m/golden_sky,Marco Reyes,True,Screen Ledger,Fresh,3.5/4,2019-08-02,"Smart writing and a superb lead turn make this an easy recommendation, and the cinematography does real narrative work. (Review 35)"
m/beta_machine,Marco Reyes,True,Screen Ledger,Fresh,4.5/5,2021-01-19,"Smart writing and a superb lead turn make this an easy recommendation, and the ensemble is uniformly excellent; the pacing never slackens. (Review 36) Verdict: 4.5/5."
m/delta_road,Marco Reyes,True,Screen Ledger,Fresh,9,2022-01-30,"Beautifully shot and confidently directed, it earns every beat, and the pacing never slackens. (Review 37)"
m/gamma_road,Marco Reyes,True,Screen Ledger,Rotten,1.5/5,2020-04-18,"Predictable and lifeless, with dialogue that lands with a thud, and the leads have no chemistry to speak of; the editing is actively confusing. (Review 38)"
m/beta_winter,Marco Reyes,True,Screen Ledger,Fresh,A-,2022-06-25,"Beautifully shot and confidently directed, it earns every beat, and the pacing never slackens. (Review 39)"
m/hollow_harvest,Marco Reyes,True,Screen Ledger,Rotten,1/4,2023-10-17,"Handsomely mounted and entirely inert, and it mistakes volume for tension. (Review 40)"
